,HVAC Cooling Efficiency
None,0.3742862116991644
"AC, SEER 13",0.23744777158774374
"AC, SEER 15",0.1096100278551532
"AC, SEER 10",0.09084261838440111
"Room AC, EER 10.7",0.05685933147632312
"Room AC, EER 9.8",0.03527158774373259
Heat Pump,0.03434888579387187
"Room AC, EER 12.0",0.021744428969359332
Shared Cooling,0.018680362116991645
"AC, SEER 8",0.013231197771587743
"Room AC, EER 8.5",0.007677576601671309
