Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Dependency=Vintage	Option=EF 6.7	Option=EF 10.2	Option=EF 10.5	Option=EF 15.9	Option=EF 17.6	Option=EF 19.9	Option=EF 21.9	Option=None	Option=Void	source_count	source_weight	sampling_probability
0-100%	Mobile Home	AK	Not Available	1940s	0	0	0	0	0	0	0	0	1	152	0	0
0-100%	Mobile Home	AK	Owner	1940s	0.0199614	0.00291913	0.00831736	0.0779909	0.357681	0.460954	0.0721768	0	0	108	0	1.33201e-07
0-100%	Mobile Home	AK	Renter	1940s	0.0357951	0.00640188	0.0164444	0.117794	0.421103	0.268503	0.0206421	0.113317	0	44	0	6.98183e-08
100-150%	Mobile Home	AK	Not Available	1940s	0	0	0	0	0	0	0	0	1	152	0	0
100-150%	Mobile Home	AK	Owner	1940s	0.0199614	0.00291913	0.00831736	0.0779909	0.357681	0.460954	0.0721768	0	0	108	0	9.9758e-08
100-150%	Mobile Home	AK	Renter	1940s	0.0357951	0.00640188	0.0164444	0.117794	0.421103	0.268503	0.0206421	0.113317	0	44	0	4.11594e-08
150-200%	Mobile Home	AK	Not Available	1940s	0	0	0	0	0	0	0	0	1	152	0	0
150-200%	Mobile Home	AK	Owner	1940s	0.0199614	0.00291913	0.00831736	0.0779909	0.357681	0.460954	0.0721768	0	0	108	0	5.14592e-08
150-200%	Mobile Home	AK	Renter	1940s	0.0357951	0.00640188	0.0164444	0.117794	0.421103	0.268503	0.0206421	0.113317	0	44	0	2.59277e-08
200-300%	Mobile Home	AK	Not Available	1940s	0	0	0	0	0	0	0	0	1	202	0	0
200-300%	Mobile Home	AK	Owner	1940s	0.0226202	0.00290303	0.00915935	0.0738259	0.361596	0.469584	0.0603117	0	0	165	0	9.45282e-08
200-300%	Mobile Home	AK	Renter	1940s	0.0860693	0.0153933	0.0383089	0.0840986	0.468556	0.289657	0.0179171	0	0	37	0	3.23812e-08
300-400%	Mobile Home	AK	Not Available	1940s	0	0	0	0	0	0	0	0	1	202	0	0
300-400%	Mobile Home	AK	Owner	1940s	0.0226202	0.00290303	0.00915935	0.0738259	0.361596	0.469584	0.0603117	0	0	165	0	4.86895e-08
300-400%	Mobile Home	AK	Renter	1940s	0.0860693	0.0153933	0.0383089	0.0840986	0.468556	0.289657	0.0179171	0	0	37	0	2.09701e-08
400%+	Mobile Home	AK	Not Available	1940s	0	0	0	0	0	0	0	0	1	235	0	0
400%+	Mobile Home	AK	Owner	1940s	0.0310789	0.00469785	0.0135647	0.0914862	0.33987	0.473285	0.0460171	0	0	206	0	5.393e-08
